Date,Action,Price,Shares,Trade Amount,Bankroll,Confidence,Kelly Fraction,Profit,Loss Percentage
2023-10-24,BUY,171.09999714791746,1.4611338642155136,250.0,9750.0,0.7,0.025,,
2023-10-27,SELL,170.29000155036027,1.4611338642155136,248.8164880025437,9998.816488002543,0.7,0.025,-1.1835119974562929,
2023-12-08,BUY,193.17999830754445,1.2939766766231577,249.9704122000636,9748.84607580248,0.7,0.025,,
2023-12-11,SELL,194.71000116898492,1.2939766766231577,251.95020021793425,10000.796276020414,0.7,0.025,1.9797880178706464,
2023-12-19,BUY,194.83000165068657,1.2832721079003764,250.01990690051036,9750.776369119903,0.7,0.025,,
2023-12-26,SELL,193.14999928053743,1.2832721079003764,247.86400671769144,9998.640375837595,0.7,0.025,-2.1559001828189253,
2023-12-29,BUY,185.63999938528647,1.3465094280524532,249.96600939593986,9748.674366441655,0.7,0.025,,
2024-01-04,SELL,181.1799982477916,1.3465094280524532,243.96057581517832,9992.634942256833,0.7,0.025,-6.005433580761547,
2024-01-25,BUY,192.4199981725499,1.2982843567662963,249.81587355642083,9742.819068700412,0.7,0.025,,
2024-01-30,STOP_LOSS,184.400001697159,1.2982843567662963,239.40363759110002,9982.222706291512,0.7,0.025,-10.412235965320832,-4.167964115766733
2024-02-05,BUY,189.29999876932845,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-02-14,SELL,183.8600017163385,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-03-01,BUY,175.10000154150868,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-03-05,STOP_LOSS,169.12000013402465,0.0,0.0,9982.222706291512,0.7,0.0,0.0,-3.4151920929974544
2024-03-12,BUY,171.13000054859805,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-03-13,SELL,172.99999967224068,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-03-20,BUY,171.3700015120013,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-03-21,SELL,172.2800011557045,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-03-27,BUY,171.47999940225156,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-04-02,SELL,169.65000189706734,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-04-15,BUY,169.3799975329835,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-04-18,SELL,164.9999996324054,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-04-25,BUY,169.30000304341388,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-04-26,SELL,173.49999803460275,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-04-29,BUY,170.33000316881868,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-05-01,SELL,173.02999869924767,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-05-22,BUY,186.88000144708752,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-05-23,SELL,189.9800000410798,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-06-07,BUY,193.1200002535304,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-06-10,SELL,207.15000153708596,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-06-18,BUY,209.67999893641388,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-06-21,SELL,208.14000004403232,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-06-24,BUY,209.07000049696472,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-06-28,SELL,216.75000071015356,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-07-10,BUY,227.57000004237457,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-07-11,SELL,230.53999993688737,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-07-16,BUY,228.87999946938584,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-07-23,STOP_LOSS,218.54000097055288,0.0,0.0,9982.222706291512,0.7,0.0,0.0,-4.517650525517411
2024-07-24,BUY,217.49000003591888,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-07-30,SELL,222.0799998728932,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-07-31,BUY,218.3600002480005,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-08-01,SELL,219.8599997087604,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-08-02,BUY,209.2699998419096,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-08-05,SELL,207.23000040032915,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-08-30,BUY,222.7699993624224,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-09-04,SELL,222.38000107714728,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-09-13,BUY,216.32000080642,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-09-16,SELL,216.79000014177512,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-10-04,BUY,221.68999940078132,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-10-07,SELL,225.770000470779,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-10-22,BUY,230.7600000910614,0.0,0.0,9982.222706291512,0.7,0.0,,
2024-10-25,SELL,233.3999997543132,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2024-12-31,BUY,243.84999997036076,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-01-02,SELL,243.3599999624537,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2025-01-15,BUY,228.2599995319037,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-01-16,SELL,229.9800002402561,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2025-01-17,BUY,222.64000066294287,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-01-21,SELL,223.830000701671,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2025-01-31,BUY,228.01000035072263,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-02-03,SELL,232.79999953264183,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2025-02-25,BUY,240.3600000841928,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-02-27,SELL,241.8400001024965,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
2025-03-07,BUY,227.47999968109835,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-03-11,STOP_LOSS,216.97999908210537,0.0,0.0,9982.222706291512,0.7,0.0,0.0,-4.615790668943562
2025-03-12,BUY,209.67999893641388,0.0,0.0,9982.222706291512,0.7,0.0,,
2025-03-13,SELL,213.49000001600123,0.0,0.0,9982.222706291512,0.7,0.0,0.0,
