Date,Action,Price,Shares,Trade Amount,Bankroll,Confidence,Kelly Fraction,Profit,Loss Percentage
2023-06-12,BUY,183.30999943765,21.820959098090757,4000.0,6000.0,0.5064051097816978,,,
2023-06-15,SELL,184.92000175332527,21.820959098090757,4035.131794678182,10035.131794678182,0.5010544759327488,,35.131794678181905,
2023-06-20,BUY,183.9600019319061,21.8202472043738,4014.0527178712728,6021.079076806909,0.5052246051536908,,,
2023-08-08,STOP_LOSS,178.19000039008114,21.8202472043738,3888.1498578590345,9909.228934665944,0.4753556624089973,,-125.90286001223876,-3.1365522294138524
2023-11-06,BUY,181.8200020547115,21.800085409050112,3963.6915738663774,5945.537360799566,0.503061497178554,,,
2023-11-10,SELL,184.8000012250857,21.800085409050112,4028.6558102994336,9974.193171099,0.5007671930228885,,64.96423643305616,
2024-01-02,BUY,184.24999843694636,21.653608153516153,3989.6772684396,5984.515902659399,0.501290856544036,,,
2024-01-05,SELL,185.56000163427137,21.653608153516153,4018.043564354329,10002.559467013729,0.5009962478475116,,28.366295914729108,
2024-01-08,BUY,185.1400019876816,21.610801252296103,4001.023786805492,6001.535680208237,0.5031322062047684,,,
2024-02-12,SELL,185.03999787706755,21.610801252296103,3998.8626178465997,10000.398298054837,0.5025614574019448,,-2.161168958892631,
2024-02-13,BUY,184.1499987308296,21.72228806294445,4000.159319221935,6000.238978832902,0.505250093489985,,,
2024-02-21,SELL,184.36999896518589,21.72228806294445,4004.938227686538,10005.17720651944,0.5057083694579441,,4.778908464602864,
2024-02-26,BUY,182.62999791245824,21.913546122505714,4002.070882607776,6003.106323911664,0.5070640296419296,,,
2024-03-01,STOP_LOSS,175.09999890028013,21.913546122505714,3837.0619019519886,9840.168225863652,0.4679470277039586,,-165.00898065578713,-4.1230899075997005
2024-05-06,BUY,182.3999994692892,21.579316347575862,3936.067290345461,5904.10093551819,0.5061953396635737,,,
2024-12-30,SELL,250.4199997543032,21.579316347575862,5403.892394457978,11307.993329976169,0.2514902156102672,,1467.8251041125172,
