SEQUENCE_LENGTH,BATCH_SIZE,LEARNING_RATE,HIDDEN_SIZE,NUM_HEADS,DROPOUT_RATE,NUM_QUANTILES,CONFIDENCE_THRESHOLD,EPOCHS,TRAIN_SIZE_RATIO,val_loss,epochs_completed,combination_id
30,64,0.0001,64,4,0.1,3,0.7,100,0.9,0.02765229685852925,52,1
30,64,0.0001,64,4,0.2,3,0.7,100,0.9,0.026851725143690903,38,2
30,64,0.0001,64,8,0.1,3,0.7,100,0.9,0.029873329525192577,29,3
