Date,Action,Price,Shares,Trade Amount,Bankroll,Confidence,Kelly Fraction,Profit,Loss Percentage
2023-04-19,BUY,167.63,1.5112667780230271,253.33365000000003,9746.66635,0.60800076,0.025,,
2023-05-12,SELL,172.57,1.5112667780230271,260.79930788343376,10007.465657883433,0.62088156,0.025,7.465657883433721,
2023-07-12,BUY,189.77,1.3338777847344376,253.12998720905424,9754.335670674378,0.60705876,0.025,,
2023-08-04,STOP_LOSS,181.99,1.3338777847344376,242.7524180438203,9997.088088718197,0.5840507,0.025,-10.377569165233922,-4.099699636401961
2023-11-27,BUY,189.79,1.3502564121152185,256.2651644553473,9740.82292426285,0.61521554,0.025,,
2024-01-04,STOP_LOSS,181.91,1.3502564121152185,245.6251439278794,9986.448068190728,0.5632761,0.025,-10.640020527467897,-4.15195742662943
2024-02-02,BUY,185.85,1.4116490494713236,262.3549758442455,9724.093092346482,0.6305064,0.025,,
2024-03-01,STOP_LOSS,179.66,1.4116490494713236,253.616868228018,9977.7099605745,0.60925996,0.025,-8.738107616227467,-3.33064299165994
2024-05-24,BUY,189.98,1.3680120224646664,259.8949240278373,9717.815036546663,0.62514126,0.025,,
2024-06-25,SELL,209.07,1.3680120224646664,286.0102735366878,10003.82531008335,0.6020778,0.025,26.1153495088505,
2024-07-23,BUY,225.01,2.2229734923077533,500.1912655041675,9503.634044579183,0.60820174,0.05,,
2024-07-25,STOP_LOSS,217.49,2.2229734923077533,483.4745048420133,9987.108549421197,0.518383,0.05,-16.716760662154286,-3.3420736856139643
2024-07-26,BUY,217.96,0.0,0.0,9987.108549421197,0.63009244,0.0,,
2024-08-05,STOP_LOSS,209.27,0.0,0.0,9987.108549421197,0.5262528,0.0,0.0,-3.9869700862543573
2024-08-15,BUY,224.72,0.0,0.0,9987.108549421197,0.6214446,0.0,,
2024-09-16,STOP_LOSS,216.32,0.0,0.0,9987.108549421197,0.5363252,0.0,0.0,-3.73798504805981
2024-09-18,BUY,220.69,0.0,0.0,9987.108549421197,0.6226714,0.0,,
2024-12-31,SELL,250.42,0.0,0.0,9987.108549421197,0.5434328,0.0,0.0,
